№ з/п,"Набори даних, які підлягають оприлюдненню у формі відкритих даних",Розпорядник інформації,посилання на opedata.kremen.gov.ua,посилання на data.gov.ua
21,"Генеральні плани населених пунктів, історико-архітектурні опорні плани, плани зонування територій та детальні плани територій (за винятком відомостей, які відповідно до законодавства становлять інформацію з обмеженим доступом), їх проекти",Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%85-%D0%BF%D1%83%D0%BD%D0%BA%D1%82%D1%96%D0%B2-%D1%96%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA%D0%BE-%D0%B0%D1%80%D1%85%D1%96%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%BD%D1%96-%D0%BE%D0%BF%D0%BE%D1%80%D0%BD%D1%96-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%B7%D0%BE%D0%BD%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F,https://data.gov.ua/dataset/ef75413b-522f-45b6-b4ea-a46581978e13
22,Дані про місцезнаходження громадського транспорту в режимі реального часу,Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D1%96%D1%81%D1%86%D0%B5%D0%B7%D0%BD%D0%B0%D1%85%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83-%D0%B2-%D1%80%D0%B5%D0%B6%D0%B8%D0%BC%D1%96-%D1%80%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%87%D0%B0%D1%81%D1%83,https://data.gov.ua/dataset/e91bf398-def1-48b3-a984-e4d361b10574
23,Паспорти бюджетних програм місцевого бюджету,"Департамент фінансів, кожен окремо",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D0%BC%D1%96%D1%81%D1%86%D0%B5%D0%B2%D0%BE%D0%B3%D0%BE-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D1%83-2,https://data.gov.ua/dataset/9ad780c3-b337-4019-a04c-bdf242cf9104
24,Звіти про виконання паспортів бюджетних програм місцевого бюджету,Управління бухгалтерського обліку та звітності,https://opendata.kremen.gov.ua/dataset/%D0%B7%D0%B2%D1%96%D1%82%D0%B8-%D0%BF%D1%80%D0%BE-%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%96%D0%B2-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D0%B8%D1%85-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC-%D0%BC%D1%96%D1%81%D1%86%D0%B5%D0%B2%D0%BE%D0%B3%D0%BE-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D1%83-4,https://data.gov.ua/dataset/3c1b515d-aa6b-48ac-9aa8-409ac7161566
25,"Титульні списки на проведення капітального та поточного ремонту, будівництва, реконструкції та благоустрою",Департамент житлово-комунального господарства ,https://opendata.kremen.gov.ua/dataset/%D1%82%D0%B8%D1%82%D1%83%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9-%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA-%D0%BD%D0%B0-%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F-%D1%80%D0%BE%D0%B1%D1%96%D1%82-%D0%B7-%D0%BD%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%B0-%D1%80%D0%B5%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D1%96%D1%97-%D1%82%D0%B0-%D1%82%D0%B5%D1%85%D0%BD%D1%96%D1%87%D0%BD%D0%BE%D0%B3%D0%BE,https://data.gov.ua/dataset/bc85af3a-8e6c-4e75-bb7b-de9d6ac0f576
26,"Інформація про рекламні засоби (дані про місце розміщення рекламного засобу, його вид і розміри, найменування розповсюджувача зовнішньої реклами, номер його телефону, дата видачі дозволу та строк його дії, номер і дата укладення договору, якщо місце розміщення рекламного засобу належить до комунальної власності)",Управління контролю за станом благоустрою/ Комунальне підприємство «Міськоформлення»,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%BD%D1%96-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8-1,https://data.gov.ua/dataset/74a358eb-0e2c-40f0-a634-3ad63b80b7d4
27,"Реєстр боргових зобов’язань суб’єктів господарювання комунальної власності територіальної громади (як суб’єктів господарювання перед третіми особами, так і третіх осіб - перед суб’єктами господарюваня)",Департамент фінансів,https://opendata.kremen.gov.ua/dataset/%D1%80%D0%B5%D1%94%D1%81%D1%82%D1%80-%D0%B1%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%B8%D1%85-%D0%B7%D0%BE%D0%B1%D0%BE%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C-%D1%81%D1%83%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%B3%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%D1%80%D1%8E%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97,https://data.gov.ua/dataset/4d4d4c64-4397-4249-8b61-beca881bf216
28,"Перелік інвестиційних договорів, додатків, додаткових угод та інших матеріалів до них, умов, у тому числі посилань на оприлюднені ресурси в Інтернеті",Комунальне підприємство «Кременчуцький центр міжнародних зв'язків та економічного розвитку міста «Кременчук Інвест»,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%96%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D1%96%D0%B9%D0%BD%D0%B8%D1%85-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%96%D0%B2-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D1%96%D0%B2-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D0%BE%D0%B2%D0%B8%D1%85-%D1%83%D0%B3%D0%BE%D0%B4-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D0%B8%D1%85-%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D1%96%D0%B0%D0%BB%D1%96%D0%B2-%D0%B4%D0%BE-%D0%BD%D0%B8%D1%85-%D1%83%D0%BC%D0%BE%D0%B2-%D1%83-4,https://data.gov.ua/dataset/587c8441-3e15-4c3f-810f-d53c4f5d0e23 
29,"Дані про об’єкти та засоби торгівлі (пересувна, сезонна та інші)","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики / Архітектура",https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BE%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D0%B8-%D1%82%D0%B0-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8-%D1%82%D0%BE%D1%80%D0%B3%D1%96%D0%B2%D0%BB%D1%96-%D0%BF%D0%B5%D1%80%D0%B5%D1%81%D1%83%D0%B2%D0%BD%D0%B0-%D1%81%D0%B5%D0%B7%D0%BE%D0%BD%D0%BD%D0%B0-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D1%96 ,https://data.gov.ua/dataset/cb2b69e0-11cf-4d8e-afce-bcd2145d60d6
30,Відомості щодо схем розміщення засобів сезонної торгівлі,"Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D0%BF%D1%80%D0%BE-%D1%81%D1%85%D0%B5%D0%BC%D0%B8-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D1%96%D0%B2-%D1%81%D0%B5%D0%B7%D0%BE%D0%BD%D0%BD%D0%BE%D1%97-%D1%82%D0%BE%D1%80%D0%B3%D1%96%D0%B2%D0%BB%D1%96,https://data.gov.ua/dataset/e0876eb7-8c6d-4f6d-916e-08e99c4fa897
31,"Відомості про ярмарки (строк проведення, місце, кількість місць, вартість місць), організаторів ярмарків, договори, укладені з організаторами таких ярмарків","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D0%BF%D1%80%D0%BE-%D1%8F%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B8-%D1%81%D1%82%D1%80%D0%BE%D0%BA-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%BD%D1%8F-%D0%BC%D1%96%D1%81%D1%86%D0%B5-%D0%BA%D1%96%D0%BB%D1%8C%D0%BA%D1%96%D1%81%D1%82%D1%8C-%D0%BC%D1%96%D1%81%D1%86%D1%8C-%D0%B2%D0%B0%D1%80%D1%82%D1%96%D1%81%D1%82%D1%8C-%D0%BC%D1%96%D1%81%D1%86%D1%8C-%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D1%96%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%96%D0%B2,https://data.gov.ua/dataset/a081b871-a113-4e60-abe6-acadd8526a2c
32,Дані про розміщення громадських вбиралень,Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%B8%D1%85-%D0%B2%D0%B1%D0%B8%D1%80%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C,https://data.gov.ua/dataset/b7c9ac04-32dd-44a2-8593-57ca6ec63946
33,"Відомості щодо залучення пайової участі (як у забезпечення розвитку інженерно-транспортної інфраструктури, так і в утримання об’єктів благоустрою)","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики/ Управління економіки",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D1%85-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%96%D0%B2-%D0%BF%D1%80%D0%BE-%D0%BF%D0%B0%D0%B9%D0%BE%D0%B2%D1%83-%D1%83%D1%87%D0%B0%D1%81%D1%82%D1%8C-%D0%B2-%D1%83%D1%82%D1%80%D0%B8%D0%BC%D0%B0%D0%BD%D0%BD%D1%96-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D1%8E,https://data.gov.ua/dataset/64d8fa34-6178-4def-aca7-de5462e1f5d5
34,"Перелік перевізників, що надають послуги пасажирського автомобільного транспорту, та маршрути перевезення",Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D1%96%D0%B7%D0%BD%D0%B8%D0%BA%D1%96%D0%B2-%D1%89%D0%BE-%D0%BD%D0%B0%D0%B4%D0%B0%D1%8E%D1%82%D1%8C-%D0%BF%D0%BE%D1%81%D0%BB%D1%83%D0%B3%D0%B8-%D0%BF%D0%B0%D1%81%D0%B0%D0%B6%D0%B8%D1%80%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83-%D1%82%D0%B0-%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D1%96%D0%B2,https://data.gov.ua/dataset/5ed93d8b-9f68-4786-9b36-eb50c1a7f12c 
35,"Відомості щодо транспортних засобів, які обслуговують пасажирські автобусні, тролейбусні та трамвайні маршрути перевезення (кількість транспортних засобів на кожному маршруті, марка, модель, державний номер, пасажиромісткість)",Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D0%BF%D1%80%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%BD%D1%96-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8-%D1%8F%D0%BA%D1%96-%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B3%D0%BE%D0%B2%D1%83%D1%8E%D1%82%D1%8C-%D0%BF%D0%B0%D1%81%D0%B0%D0%B6%D0%B8%D1%80%D1%81%D1%8C%D0%BA%D1%96-%D0%B0%D0%B2%D1%82%D0%BE%D0%B1%D1%83%D1%81%D0%BD%D1%96-%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D0%B8-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%B5%D0%B7%D0%B5%D0%BD%D0%BD%D1%8F,https://data.gov.ua/dataset/4f369e51-3541-4d43-a97b-e5fabffb02fa
36,Розклад руху громадського транспорту,Відділ транспорту,https://opendata.kremen.gov.ua/dataset/%D1%80%D0%BE%D0%B7%D0%BA%D0%BB%D0%B0%D0%B4-%D1%80%D1%83%D1%85%D1%83-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83,https://data.gov.ua/dataset/e6586d97-226f-461b-88db-0283be4f01e8
37,Дані про місце розміщення зупинок міського електро- та автомобільного транспорту,"Відділ транспорту, архітектура",https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%BC%D1%96%D1%81%D1%86%D0%B5-%D1%80%D0%BE%D0%B7%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D1%83%D0%BF%D0%B8%D0%BD%D0%BE%D0%BA-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE-%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE-%D1%82%D0%B0-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82%D1%83 ,https://data.gov.ua/dataset/d99913ff-7a7f-494e-81be-c046fe1c766e
38,"Перелік земельних ділянок, що пропонуються для здійснення забудови",Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA-%D1%89%D0%BE-%D0%BF%D1%80%D0%BE%D0%BF%D0%BE%D0%BD%D1%83%D1%8E%D1%82%D1%8C%D1%81%D1%8F-%D0%B4%D0%BB%D1%8F-%D0%B7%D0%B4%D1%96%D0%B9%D1%81%D0%BD%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D0%B0%D0%B1%D1%83%D0%B4%D0%BE%D0%B2%D0%B8,https://data.gov.ua/dataset/18cd492e-79c9-4602-aa7a-a4339674a147 
39,"Перелік укладених договорів, укладені договори, інші правочини, додатки, додаткові угоди та інші матеріали до них",Управління бухгалтерського обліку та звітності,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D1%85-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%96%D0%B2-%D1%83%D0%BA%D0%BB%D0%B0%D0%B4%D0%B5%D0%BD%D1%96-%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8-%D1%96%D0%BD%D1%88%D1%96-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D1%87%D0%B8%D0%BD%D0%B8-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D0%B8-%D0%B4%D0%BE%D0%B4%D0%B0%D1%82%D0%BA%D0%BE%D0%B2%D1%96-%D1%83%D0%B3%D0%BE%D0%B4%D0%B8-%D1%82%D0%B0-98,https://data.gov.ua/dataset/20cd043b-665b-45fa-9fcc-75133e66c5e4 
40,Актуальні списки власників/орендарів місцевих земельних ділянок,Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%B0%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D1%81%D0%BF%D0%B8%D1%81%D0%BA%D0%B8-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%96%D0%B2-%D0%BC%D1%96%D1%81%D1%86%D0%B5%D0%B2%D0%B8%D1%85-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA,https://data.gov.ua/dataset/d99f22e5-63d1-4c0e-b805-c3f83d5044e2
41,"Відомості про лікарські засоби/препарати, придбані за бюджетні кошти, відомості про розподілення таких ліків між закладами охорони здоров’я та їх залишки в кожному з них",Управління охорони здоров’я,https://opendata.kremen.gov.ua/dataset/%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D0%BF%D1%80%D0%BE-%D0%BB%D1%96%D0%BA%D0%B0%D1%80%D1%81%D1%8C%D0%BA%D1%96-%D0%B7%D0%B0%D1%81%D0%BE%D0%B1%D0%B8%D0%BF%D1%80%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D1%82%D0%B8-%D0%BF%D1%80%D0%B8%D0%B4%D0%B1%D0%B0%D0%BD%D1%96-%D0%B7%D0%B0-%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D1%96-%D0%BA%D0%BE%D1%88%D1%82%D0%B8-%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D1%96-%D0%BF%D1%80%D0%BE-5,https://data.gov.ua/dataset/dae0ddf7-bd0e-4a6d-89e6-1f160f11a213
42,"Бази даних щодо ремонту доріг: точне зазначення ділянки відремонтованої дороги (від кілометра до кілометра), ширина та довжина дороги, довжина ділянки, товщина дорожнього покриття, матеріали, види робіт, вартість робіт, гарантійний строк, виконавці робіт","Комунальне підприємство ""Кременчуцьке підрядне спеціалізоване шляхове ремонтно-будівельне управління""",https://opendata.kremen.gov.ua/dataset/%D0%B1%D0%B0%D0%B7%D0%B0-%D0%B4%D0%B0%D0%BD%D0%B8%D1%85-%D1%89%D0%BE%D0%B4%D0%BE-%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%83-%D0%B4%D0%BE%D1%80%D1%96%D0%B3-%D1%82%D0%BE%D1%87%D0%BD%D0%B5-%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BA%D0%B8-%D0%B2%D1%96%D0%B4%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%D0%B0%D0%BD%D0%BE%D1%97-%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B8-%D0%B2%D1%96%D0%B4-%D0%BA%D1%96%D0%BB%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B0-%D0%B4%D0%BE,https://data.gov.ua/dataset/063aaae1-3e0c-48e9-b043-77bbefae9c26
43,"Схеми планування територій громад та плани зонування територій (для сільських, селищних, міських рад)",Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D1%81%D1%85%D0%B5%D0%BC%D0%B8-%D0%BF%D0%BB%D0%B0%D0%BD%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D0%B9-%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4-%D1%82%D0%B0-%D0%BF%D0%BB%D0%B0%D0%BD%D0%B8-%D0%B7%D0%BE%D0%BD%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D0%B9,https://data.gov.ua/dataset/1f34a1a0-1f40-4122-848c-4154cd3d4228
44,Поіменні результати голосування депутатів на пленарних засіданнях органу місцевого самоврядування,Відділ інформаційно-комп'ютерних технологій,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%BE%D1%96%D0%BC%D0%B5%D0%BD%D0%BD%D1%96-%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B8-%D0%B3%D0%BE%D0%BB%D0%BE%D1%81%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%B4%D0%B5%D0%BF%D1%83%D1%82%D0%B0%D1%82%D1%96%D0%B2-%D0%BD%D0%B0-%D0%BF%D0%BB%D0%B5%D0%BD%D0%B0%D1%80%D0%BD%D0%B8%D1%85-%D0%B7%D0%B0%D1%81%D1%96%D0%B4%D0%B0%D0%BD%D0%BD%D1%8F%D1%85-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D1%86%D1%8C%D0%BA%D0%BE%D1%97-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%BE%D1%97-%D1%80%D0%B0%D0%B4%D0%B8,https://data.gov.ua/dataset/2bd0c439-9a98-4d54-8cde-ebced6a8f0c9
45,"Дані про депутатів місцевих рад, у тому числі контактні дані та графік прийому",Управління запезпечення діяльності ради,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B4%D0%B5%D0%BF%D1%83%D1%82%D0%B0%D1%82%D1%96%D0%B2-%D0%BA%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D1%87%D1%83%D1%86%D1%8C%D0%BA%D0%BE%D1%97-%D0%BC%D1%96%D1%81%D1%8C%D0%BA%D0%BE%D1%97-%D1%80%D0%B0%D0%B4%D0%B8,https://data.gov.ua/dataset/cff6be76-10ec-44ca-9ea2-da7623d5e1d4
46,"Дані про зелені насадження, що підлягають видаленню, відповідно до виданих актів обстеження зелених насаджень",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B7%D0%B5%D0%BB%D0%B5%D0%BD%D1%96-%D0%BD%D0%B0%D1%81%D0%B0%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D1%89%D0%BE-%D0%BF%D1%96%D0%B4%D0%BB%D1%8F%D0%B3%D0%B0%D1%8E%D1%82%D1%8C-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D1%8E-%D0%B2%D1%96%D0%B4%D0%BF%D0%BE%D0%B2%D1%96%D0%B4%D0%BD%D0%BE-%D0%B4%D0%BE-%D0%B2%D0%B8%D0%B4%D0%B0%D0%BD%D0%B8%D1%85-%D0%B0%D0%BA%D1%82%D1%96%D0%B2-%D0%BE%D0%B1%D1%81%D1%82%D0%B5%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F,https://data.gov.ua/dataset/58c9e776-430d-4eaa-9b17-6b1657eb5c16
47,Надані містобудівні умови та обмеження,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%BD%D0%B0%D0%B4%D0%B0%D0%BD%D1%96-%D0%BC%D1%96%D1%81%D1%82%D0%BE%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D1%96-%D1%83%D0%BC%D0%BE%D0%B2%D0%B8-%D1%82%D0%B0-%D0%BE%D0%B1%D0%BC%D0%B5%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F,https://data.gov.ua/dataset/484f51e8-941f-49a6-ae3a-5358a4e0ffa7
48,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%B4%D0%B0%D0%BD%D1%96-%D0%BF%D1%80%D0%BE-%D0%B4%D0%BE%D1%81%D1%82%D1%83%D0%BF%D0%BD%D1%96%D1%81%D1%82%D1%8C-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%B5%D0%BB%D1%8C-%D0%B4%D0%BB%D1%8F-%D0%BE%D1%81%D1%96%D0%B1-%D0%B7-%D1%96%D0%BD%D0%B2%D0%B0%D0%BB%D1%96%D0%B4%D0%BD%D1%96%D1%81%D1%82%D1%8E-%D1%82%D0%B0-%D1%96%D0%BD%D1%88%D0%B8%D1%85-%D0%BC%D0%B0%D0%BB%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B3%D1%80%D1%83%D0%BF-%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F,https://data.gov.ua/dataset/55c5e415-e191-4744-a4ef-bbc5537c4e98
