№ з/п,"Набори даних, які підлягають оприлюдненню у формі відкритих даних",Розпорядник інформації,посилання на opedata.kremen.gov.ua,посилання на data.gov.ua
11,"Переліки регуляторних актів із зазначенням дати набрання чинності, строку проведення базового, повторного та періодичного відстеження їх результативності та інформації про місце їх оприлюднення","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA%D0%B8-%D1%80%D0%B5%D0%B3%D1%83%D0%BB%D1%8F%D1%82%D0%BE%D1%80%D0%BD%D0%B8%D1%85-%D0%B0%D0%BA%D1%82%D1%96%D0%B2-%D1%96%D0%B7-%D0%B7%D0%B0%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%BD%D1%8F%D0%BC-%D0%B4%D0%B0%D1%82%D0%B8-%D0%BD%D0%B0%D0%B1%D1%80%D0%B0%D0%BD%D0%BD%D1%8F-%D1%87%D0%B8%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%81%D1%82%D1%80%D0%BE%D0%BA%D1%83-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B1%D0%B0%D0%B7%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE,https://data.gov.ua/dataset/0411dce4-72e0-4204-b0b0-0c93410d3e74
12,"План діяльності з підготовки проектів регуляторних актів із зазначенням видів і назв проектів, цілей їх прийняття, строків підготовки проектів, найменування органів і підрозділів, відповідальних за розроблення проектів регуляторних актів, дату їх внесення на розгляд регуляторного органу та посилання на місце оприлюднення","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики",https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%BB%D0%B0%D0%BD-%D0%B4%D1%96%D1%8F%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D0%B7-%D0%BF%D1%96%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B8-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D1%96%D0%B2-%D1%80%D0%B5%D0%B3%D1%83%D0%BB%D1%8F%D1%82%D0%BE%D1%80%D0%BD%D0%B8%D1%85-%D0%B0%D0%BA%D1%82%D1%96%D0%B2-%D1%96%D0%B7-%D0%B7%D0%B0%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%BD%D1%8F%D0%BC-%D0%B2%D0%B8%D0%B4%D1%96%D0%B2-%D1%96-%D0%BD%D0%B0%D0%B7%D0%B2,https://data.gov.ua/dataset/874deb4f-5677-4d9c-882a-1969c704ae7b
13,"Інформація про отримане майно (обладнання, програмне забезпечення) у рамках міжнародної технічної допомоги",Управління охорони здоров'я,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D1%89%D0%BE%D0%B4%D0%BE-%D0%BE%D1%82%D1%80%D0%B8%D0%BC%D0%B0%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BC%D0%B0%D0%B9%D0%BD%D0%B0-%D0%B2-%D1%80%D0%B0%D0%BC%D0%BA%D0%B0%D1%85-%D0%BC%D1%96%D0%B6%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D1%97-%D1%82%D0%B5%D1%85%D0%BD%D1%96%D1%87%D0%BD%D0%BE%D1%97-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BC%D0%BE%D0%B3%D0%B8-0,https://data.gov.ua/dataset/02a9fc64-4e8f-40bc-914e-c611d1c24ec4
14,Основні положення генеральних планів населених пунктів та детальних планів територій,Управління містобудування та архітектури,https://opendata.kremen.gov.ua/dataset/%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D1%96-%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%BF%D0%BB%D0%B0%D0%BD%D1%96%D0%B2-%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%85-%D0%BF%D1%83%D0%BD%D0%BA%D1%82%D1%96%D0%B2-%D1%82%D0%B0-%D0%B4%D0%B5%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%BF%D0%BB%D0%B0%D0%BD%D1%96%D0%B2-%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97,https://data.gov.ua/dataset/25554868-7fb1-4305-907e-99029d336bf5
15,Перелік об’єктів комунальної власності,Управління міського майна,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-0,https://data.gov.ua/dataset/31515f69-4492-4560-a10f-7b7122116912
16,"Перелік об’єктів комунальної власності, що передані в оренду чи інше право користування (з даними про умови передачі об’єктів в оренду)",Управління міського майна,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%89%D0%BE-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D0%BD%D1%96-%D0%B2-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D1%87%D0%B8-%D1%96%D0%BD%D1%88%D0%B5-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE-%D0%BA%D0%BE%D1%80%D0%B8%D1%81%D1%82%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F-%D0%B7,https://data.gov.ua/dataset/cf370f96-d6bd-449a-9d7d-b6bb950792b8
17,"Перелік об’єктів комунальної власності – земельних ділянок, що передані в оренду чи інше право користування ",Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BE%D0%B1%E2%80%99%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%E2%80%93-%D0%B7%D0%B5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%B4%D1%96%D0%BB%D1%8F%D0%BD%D0%BE%D0%BA-%D1%89%D0%BE-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D0%BD%D1%96-%D0%B2-%D0%BE%D1%80%D0%B5%D0%BD%D0%B4%D1%83-%D1%87%D0%B8-%D1%96%D0%BD%D1%88%D0%B5,https://data.gov.ua/dataset/12c53c9c-9b53-481b-bbe3-821fac0dcaa5 
18,"Перелік незадіяних земельних ділянок і майнових об’єктів (приміщень) комунальної форми власності, які можуть бути передані в користування",Управління міського майна Управління земельних ресурсів,https://opendata.kremen.gov.ua/dataset/%D0%BF%D0%B5%D1%80%D0%B5%D0%BB%D1%96%D0%BA-%D0%BD%D0%B5%D0%B7%D0%B0%D0%B4%D1%96%D1%8F%D0%BD%D0%B8%D1%85-%D0%BC%D0%B0%D0%B9%D0%BD%D0%BE%D0%B2%D0%B8%D1%85-%D0%BE%D0%B1%D1%94%D0%BA%D1%82%D1%96%D0%B2-%D0%BF%D1%80%D0%B8%D0%BC%D1%96%D1%89%D0%B5%D0%BD%D1%8C-%D0%BA%D0%BE%D0%BC%D1%83%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97-%D1%84%D0%BE%D1%80%D0%BC%D0%B8-%D0%B2%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%96-%D1%8F%D0%BA%D1%96-%D0%BC%D0%BE%D0%B6%D1%83%D1%82%D1%8C-%D0%B1%D1%83%D1%82%D0%B8,https://data.gov.ua/dataset/1b5b33aa-86f0-41c9-bfe3-5db71f7025c1 
19,Результати радіаційного контролю,"Комунальне підприємство ""Науковий центр еколого - соціальних досліджень""",https://opendata.kremen.gov.ua/dataset/%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B8-%D1%80%D0%B0%D0%B4%D1%96%D0%B0%D1%86%D1%96%D0%B9%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8E,https://data.gov.ua/dataset/2c44a132-88b8-49e0-b05f-65a41f122bd0
20,"Інформація про використання публічних коштів під час будівництва, ремонту та реконструкції об’єктів дорожньої інфраструктури та хід виконання проектів",Департамент житлово-комунального господарства,https://opendata.kremen.gov.ua/dataset/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D1%96%D1%8F-%D0%BF%D1%80%D0%BE-%D0%B2%D0%B8%D0%BA%D0%BE%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D0%BD%D1%8F-%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D1%87%D0%BD%D0%B8%D1%85-%D0%BA%D0%BE%D1%88%D1%82%D1%96%D0%B2-%D0%BF%D1%96%D0%B4-%D1%87%D0%B0%D1%81-%D0%B1%D1%83%D0%B4%D1%96%D0%B2%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%B0-%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%83-%D1%82%D0%B0-%D1%80%D0%B5%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D1%96%D1%97,https://data.gov.ua/dataset/0aacd6e2-dded-4419-a642-0996319a2279
